order_id,user_id,order_timestamp,amount,currency,payment_method,status
1,22,2025-10-01 02:13:59,65.04,AUD,card,paid
2,68,2025-10-01 02:16:38,62.5,AUD,card,paid
3,101,2025-10-01 09:32:34,43.74,AUD,paypal,paid
4,339,2025-10-01 01:03:44,45.95,AUD,bank_transfer,paid
5,350,2025-10-01 14:00:20,120.66,AUD,card,refunded
6,370,2025-10-01 00:57:16,75.27,AUD,card,paid
7,420,2025-10-01 11:20:57,79.45,AUD,bank_transfer,paid
8,436,2025-10-01 04:27:37,137.04,AUD,card,paid
9,470,2025-10-01 00:21:50,36.86,AUD,card,paid
10,501,2025-10-01 20:55:55,90.2,AUD,card,paid
11,608,2025-10-01 21:56:33,32.64,AUD,card,paid
12,646,2025-10-01 18:20:13,54.77,AUD,card,paid
13,655,2025-10-01 16:40:22,39.83,AUD,paypal,paid
14,669,2025-10-01 02:28:26,98.14,AUD,paypal,paid
15,707,2025-10-01 02:44:28,28.49,AUD,card,paid
16,767,2025-10-01 05:09:06,60.13,AUD,paypal,paid
17,774,2025-10-01 20:14:15,39.59,AUD,card,paid
18,929,2025-10-01 09:12:29,45.39,AUD,card,paid
19,950,2025-10-01 18:43:01,48.65,AUD,paypal,paid
20,1037,2025-10-01 06:34:44,120.73,AUD,card,paid
21,1100,2025-10-01 08:17:38,57.35,AUD,card,paid
22,1146,2025-10-01 12:35:30,145.08,AUD,card,paid
23,1147,2025-10-01 16:26:44,159.41,AUD,bank_transfer,paid
24,1219,2025-10-01 07:01:33,172.63,AUD,paypal,paid
25,1226,2025-10-01 15:47:49,64.95,AUD,paypal,paid
26,1283,2025-10-01 01:17:09,73.31,AUD,card,paid
27,1346,2025-10-01 01:35:04,79.05,AUD,paypal,paid
28,1431,2025-10-01 00:29:36,56.52,AUD,card,refunded
29,1522,2025-10-01 15:54:15,80.72,AUD,bank_transfer,paid
30,1842,2025-10-01 13:24:41,43.78,AUD,card,paid
31,1902,2025-10-01 08:40:36,28.68,AUD,card,paid
32,2112,2025-10-01 18:33:00,91.96,AUD,card,paid
33,2140,2025-10-01 00:22:13,56.97,AUD,paypal,paid
34,2144,2025-10-01 19:13:25,42.97,AUD,paypal,paid
35,2212,2025-10-01 23:05:20,45.49,AUD,card,paid
36,2223,2025-10-01 14:09:06,131.87,AUD,card,paid
37,2492,2025-10-01 15:22:13,82.17,AUD,paypal,paid
38,2511,2025-10-01 07:34:37,33.61,AUD,card,paid
39,2695,2025-10-01 14:03:26,39.09,AUD,paypal,paid
40,2698,2025-10-01 00:32:13,58.48,AUD,bank_transfer,paid
41,2728,2025-10-01 09:18:34,82.63,AUD,card,paid
42,2748,2025-10-01 17:29:18,46.64,AUD,card,paid
43,2800,2025-10-01 01:53:47,61.69,AUD,card,paid
44,2817,2025-10-01 08:34:04,70.21,AUD,card,paid
45,2879,2025-10-01 00:13:12,70.87,AUD,card,paid
46,2967,2025-10-01 11:01:35,22.7,AUD,paypal,paid
