order_id,user_id,order_timestamp,amount,currency,payment_method,status
232,108,2025-10-07 11:30:59,25.35,AUD,card,refunded
233,118,2025-10-07 21:33:17,46.42,AUD,card,paid
234,138,2025-10-07 19:25:28,80.25,AUD,paypal,paid
235,260,2025-10-07 08:55:05,75.65,AUD,bank_transfer,paid
236,277,2025-10-07 16:32:54,117.27,AUD,card,paid
237,280,2025-10-07 12:48:58,99.63,AUD,bank_transfer,paid
238,286,2025-10-07 12:23:08,54.76,AUD,card,paid
239,376,2025-10-07 20:52:37,117.48,AUD,card,paid
240,400,2025-10-07 20:37:34,85.44,AUD,card,paid
241,417,2025-10-07 06:10:35,96.78,AUD,card,paid
242,436,2025-10-07 09:36:16,95.66,AUD,card,paid
243,494,2025-10-07 11:42:50,59.79,AUD,bank_transfer,paid
244,497,2025-10-07 20:28:31,104.07,AUD,card,paid
245,516,2025-10-07 20:46:16,77.82,AUD,card,refunded
246,539,2025-10-07 05:46:18,100.3,AUD,card,paid
247,687,2025-10-07 08:52:15,130.37,AUD,card,paid
248,719,2025-10-07 10:23:56,63.85,AUD,paypal,paid
249,741,2025-10-07 11:41:54,106.52,AUD,card,paid
250,825,2025-10-07 06:11:04,57.16,AUD,card,paid
251,927,2025-10-07 13:50:27,54.12,AUD,bank_transfer,paid
252,957,2025-10-07 03:07:10,66.46,AUD,card,paid
253,969,2025-10-07 18:49:35,66.38,AUD,card,paid
254,974,2025-10-07 07:07:07,82.17,AUD,paypal,paid
255,1158,2025-10-07 04:40:12,40.15,AUD,card,paid
256,1256,2025-10-07 05:08:35,85.92,AUD,paypal,pending
257,1315,2025-10-07 12:00:44,62.43,AUD,card,paid
258,1371,2025-10-07 04:01:24,28.47,AUD,card,paid
259,1378,2025-10-07 01:04:26,79.85,AUD,card,paid
260,1594,2025-10-07 00:14:10,126.02,AUD,paypal,paid
261,1599,2025-10-07 07:07:14,107.68,AUD,card,paid
262,1764,2025-10-07 12:46:39,66.66,AUD,bank_transfer,paid
263,1952,2025-10-07 09:41:52,55.01,AUD,card,paid
264,1988,2025-10-07 15:53:07,98.68,AUD,paypal,pending
265,2015,2025-10-07 16:50:48,55.02,AUD,paypal,paid
266,2103,2025-10-07 01:49:10,65.39,AUD,card,paid
267,2211,2025-10-07 21:11:40,212.04,AUD,card,paid
268,2226,2025-10-07 07:19:17,130.22,AUD,paypal,paid
269,2249,2025-10-07 08:13:17,61.5,AUD,card,paid
270,2252,2025-10-07 16:03:52,90.77,AUD,card,paid
271,2279,2025-10-07 08:10:45,136.64,AUD,card,paid
272,2295,2025-10-07 01:29:02,82.31,AUD,card,paid
273,2310,2025-10-07 20:35:30,40.82,AUD,card,paid
274,2349,2025-10-07 04:22:25,77.86,AUD,card,paid
275,2373,2025-10-07 18:37:32,60.2,AUD,card,paid
276,2375,2025-10-07 15:43:34,60.78,AUD,card,paid
277,2418,2025-10-07 19:37:01,49.35,AUD,bank_transfer,paid
278,2446,2025-10-07 01:01:33,40.65,AUD,card,paid
279,2663,2025-10-07 21:39:29,51.69,AUD,card,pending
280,2767,2025-10-07 07:15:25,94.04,AUD,card,paid
281,2815,2025-10-07 03:27:50,104.26,AUD,card,paid
282,2907,2025-10-07 12:28:28,174.25,AUD,paypal,paid
283,2985,2025-10-07 21:48:02,53.79,AUD,card,paid
