order_id,user_id,order_timestamp,amount,currency,payment_method,status
127,201,2025-10-04 09:08:34,185.7,AUD,card,paid
128,221,2025-10-04 14:43:00,96.87,AUD,card,paid
129,252,2025-10-04 12:38:20,35.63,AUD,card,paid
130,358,2025-10-04 09:41:25,73.43,AUD,card,paid
131,414,2025-10-04 10:36:55,98.38,AUD,card,paid
132,669,2025-10-04 17:52:00,22.39,AUD,card,paid
133,686,2025-10-04 08:18:44,89.12,AUD,card,refunded
134,1104,2025-10-04 15:18:19,113.04,AUD,bank_transfer,paid
135,1107,2025-10-04 17:31:53,79.8,AUD,card,refunded
136,1128,2025-10-04 00:05:18,64.86,AUD,paypal,paid
137,1208,2025-10-04 21:34:57,61.69,AUD,paypal,paid
138,1265,2025-10-04 21:37:39,60.09,AUD,card,refunded
139,1371,2025-10-04 01:35:49,39.28,AUD,card,paid
140,1462,2025-10-04 02:38:48,48.94,AUD,card,paid
141,1527,2025-10-04 05:57:21,55.29,AUD,card,paid
142,1744,2025-10-04 02:22:06,70.18,AUD,card,paid
143,1873,2025-10-04 10:19:21,51.91,AUD,card,paid
144,1984,2025-10-04 00:17:24,45.1,AUD,card,paid
145,2111,2025-10-04 21:45:01,93.87,AUD,paypal,paid
146,2264,2025-10-04 05:02:55,78.79,AUD,bank_transfer,paid
147,2387,2025-10-04 13:34:47,52.32,AUD,card,paid
148,2457,2025-10-04 14:21:11,83.75,AUD,card,paid
149,2470,2025-10-04 00:16:01,54.38,AUD,paypal,paid
150,2537,2025-10-04 19:14:45,68.61,AUD,card,paid
151,2932,2025-10-04 14:26:06,103.42,AUD,card,paid
