event_id,user_id,event_type,event_timestamp,device,channel,session_id
1602,15,view,2025-10-03 14:50:33,mobile,social,57cdb68c-e5a
1603,17,view,2025-10-03 12:48:04,desktop,social,cd5761cf-fc9
1604,19,view,2025-10-03 20:26:09,desktop,social,45ec31a7-caa
1605,21,view,2025-10-03 15:46:56,mobile,email,840a38ad-fee
1606,24,view,2025-10-03 02:59:08,mobile,direct,5819c07d-ced
1607,31,view,2025-10-03 19:36:42,tablet,direct,b600cfa0-0b5
1608,53,view,2025-10-03 17:21:05,desktop,social,cd04b719-7d5
1609,57,view,2025-10-03 13:43:28,tablet,direct,8025009c-708
1610,65,view,2025-10-03 03:19:58,mobile,direct,a551b598-f5c
1611,79,view,2025-10-03 03:49:24,desktop,search,01f4dda7-6ac
1612,84,view,2025-10-03 12:36:19,desktop,social,c1b9ec9c-3b8
1613,86,view,2025-10-03 22:36:34,mobile,direct,13b8235a-51a
1614,88,view,2025-10-03 16:33:08,tablet,search,7d91d06f-fb5
1615,90,view,2025-10-03 22:56:53,mobile,direct,e9e6b518-1d0
1616,107,view,2025-10-03 17:19:58,desktop,direct,3f7a6c9c-0e5
1617,122,view,2025-10-03 21:03:13,tablet,search,c2a40720-f0c
1618,123,view,2025-10-03 13:06:50,mobile,direct,4c4a953d-54e
1619,127,view,2025-10-03 12:22:40,desktop,email,6178960d-8b5
1620,133,view,2025-10-03 19:13:21,mobile,email,9aeba0a0-1ef
1621,134,view,2025-10-03 04:38:54,desktop,social,5d9f3a51-1bd
1622,139,view,2025-10-03 20:39:36,desktop,direct,8162fc43-321
1623,141,view,2025-10-03 21:33:18,mobile,search,409f41f8-aad
1624,144,view,2025-10-03 20:09:40,desktop,direct,efe55d7f-e31
1625,147,view,2025-10-03 00:34:23,mobile,search,04789a6f-67d
1626,150,view,2025-10-03 06:11:53,mobile,search,4f635040-408
1627,151,view,2025-10-03 07:31:27,mobile,social,9e7db77a-bc9
1628,160,view,2025-10-03 12:42:59,desktop,direct,ec4ee5d8-6af
1629,169,view,2025-10-03 11:09:41,mobile,search,bacaedd1-031
1630,175,view,2025-10-03 05:03:25,desktop,referral,cb6b2d1d-b00
1631,192,view,2025-10-03 03:27:44,mobile,search,28309e7d-c06
1632,194,view,2025-10-03 07:32:12,desktop,referral,475c88c6-321
1633,199,view,2025-10-03 14:05:37,mobile,referral,f83218be-b74
1634,209,view,2025-10-03 19:14:45,desktop,search,12bc1fac-72e
1635,212,view,2025-10-03 17:55:49,desktop,search,e452278e-c30
1636,217,view,2025-10-03 09:48:26,tablet,social,f97ac7e6-13e
1637,222,view,2025-10-03 07:06:32,desktop,direct,fa257e52-637
1638,232,view,2025-10-03 23:19:47,desktop,direct,5e74612c-185
1639,236,view,2025-10-03 12:25:58,desktop,social,da5338bd-276
1640,237,view,2025-10-03 01:49:37,desktop,search,702bc8c2-8cb
1641,250,view,2025-10-03 23:40:30,mobile,direct,bec6c5e4-874
1642,253,view,2025-10-03 02:17:43,desktop,search,adccd46e-ff2
1643,258,view,2025-10-03 22:59:01,desktop,social,26996a3a-e64
1644,260,view,2025-10-03 02:14:32,mobile,direct,ed7c2476-4dd
1645,262,view,2025-10-03 16:53:34,desktop,direct,4abdfe31-833
1646,266,view,2025-10-03 12:35:06,desktop,direct,c34ebbbb-e91
1647,273,view,2025-10-03 01:34:51,tablet,search,162795f0-616
1648,274,view,2025-10-03 00:32:33,tablet,social,f6f52876-019
1649,279,view,2025-10-03 19:34:59,mobile,social,4f0830e8-f79
1650,280,view,2025-10-03 21:23:01,mobile,search,1f395a01-125
1651,284,view,2025-10-03 10:29:19,mobile,direct,0fda6a9a-d33
1652,285,view,2025-10-03 05:36:25,mobile,direct,fd1d6b7c-e3d
1653,287,view,2025-10-03 20:33:03,desktop,direct,bf90579d-e27
1654,290,view,2025-10-03 09:38:19,mobile,direct,1010181e-bf4
1655,291,view,2025-10-03 20:24:50,desktop,direct,c2b848a3-673
1656,299,view,2025-10-03 14:55:39,desktop,search,196f729c-47d
1657,300,view,2025-10-03 15:27:11,desktop,direct,ae8e67c9-1e2
1658,310,view,2025-10-03 04:59:05,mobile,social,0877582f-f47
1659,316,view,2025-10-03 10:38:14,mobile,social,26d2a218-7c6
1660,321,view,2025-10-03 03:35:20,mobile,search,6b66eb7d-260
1661,322,view,2025-10-03 14:53:29,mobile,direct,a1912f8f-28b
1662,328,view,2025-10-03 19:44:56,tablet,email,26e21d9f-232
1663,329,view,2025-10-03 22:28:45,desktop,referral,4b507404-e5e
1664,335,view,2025-10-03 17:19:18,mobile,direct,d5b5da29-9c7
1665,337,view,2025-10-03 06:44:25,desktop,social,00923819-dfb
1666,340,view,2025-10-03 20:20:51,mobile,email,bb35beea-333
1667,341,view,2025-10-03 23:30:04,desktop,search,8ff3780f-cf5
1668,348,view,2025-10-03 02:37:18,mobile,search,6c1f4ecf-cae
1669,349,view,2025-10-03 19:39:39,desktop,search,434a572e-d3c
1670,357,view,2025-10-03 07:57:09,mobile,search,1a38223f-58d
1671,361,view,2025-10-03 17:20:42,mobile,search,695be4eb-711
1672,363,view,2025-10-03 01:08:05,mobile,referral,9b741fcd-628
1673,369,view,2025-10-03 23:02:06,mobile,social,6c22bfa1-2da
1674,372,view,2025-10-03 06:48:33,desktop,direct,21a49b53-f21
1675,378,view,2025-10-03 16:41:24,mobile,search,f715f655-154
1676,391,view,2025-10-03 23:57:10,desktop,social,39ad0729-97e
1677,392,view,2025-10-03 17:40:05,desktop,direct,0b39f85b-b78
1678,408,view,2025-10-03 17:07:46,desktop,search,5635cb1c-e67
1679,415,view,2025-10-03 22:20:20,desktop,email,f29bec6b-a63
1680,419,view,2025-10-03 19:00:12,mobile,search,7705c7bc-302
1681,423,view,2025-10-03 14:12:58,mobile,direct,f3093573-4db
1682,429,view,2025-10-03 19:44:52,tablet,direct,363cd6ac-c53
1683,434,view,2025-10-03 23:53:47,mobile,search,cbf7c8f6-26f
1684,437,view,2025-10-03 10:33:29,mobile,search,e43ae165-dfe
1685,439,view,2025-10-03 17:46:16,desktop,search,76dbb267-328
1686,448,view,2025-10-03 08:57:05,mobile,search,3201ef27-2a2
1687,467,view,2025-10-03 10:40:37,desktop,direct,b2b0f898-f0e
1688,470,view,2025-10-03 19:42:15,desktop,direct,b77d3750-cb6
1689,471,view,2025-10-03 03:47:28,mobile,search,2676aa8d-510
1690,474,view,2025-10-03 11:55:36,desktop,direct,2a86ef3d-5da
1691,481,view,2025-10-03 11:11:03,mobile,email,8964aa7f-da6
1692,486,view,2025-10-03 13:26:13,mobile,direct,d6a54fc2-447
1693,490,view,2025-10-03 14:40:14,desktop,search,52cb36ff-d2b
1694,496,view,2025-10-03 18:05:37,desktop,search,88e68a19-d7a
1695,499,view,2025-10-03 13:02:52,desktop,search,d7983568-9df
1696,508,view,2025-10-03 07:49:07,tablet,social,a2820646-223
1697,512,view,2025-10-03 05:21:35,mobile,search,92e2b914-273
1698,518,view,2025-10-03 01:54:57,desktop,social,5c48575c-776
1699,525,view,2025-10-03 21:20:12,mobile,search,859701b2-48a
1700,528,view,2025-10-03 10:37:33,mobile,search,25452b93-492
1701,529,view,2025-10-03 01:37:18,mobile,social,a6ad75ac-714
1702,530,view,2025-10-03 22:58:13,desktop,search,02c2848d-02f
1703,533,view,2025-10-03 18:48:00,mobile,search,00fa68f5-d4f
1704,534,view,2025-10-03 22:12:22,desktop,social,ce809570-f24
1705,537,view,2025-10-03 07:20:14,desktop,referral,f1680ada-566
1706,543,view,2025-10-03 10:45:48,mobile,search,bc2a8495-232
1707,549,view,2025-10-03 16:59:17,desktop,search,ff5376e5-148
1708,566,view,2025-10-03 08:11:23,mobile,direct,e89db7af-651
1709,578,view,2025-10-03 03:11:53,mobile,search,f1124afe-887
1710,587,view,2025-10-03 15:25:49,desktop,search,1a5fad90-a9e
1711,594,view,2025-10-03 12:26:42,mobile,social,efd87a11-def
1712,597,view,2025-10-03 07:20:51,desktop,search,2917de35-669
1713,599,view,2025-10-03 11:21:49,desktop,social,91396bf2-bb8
1714,601,view,2025-10-03 13:21:31,mobile,direct,da28d3aa-97f
1715,621,view,2025-10-03 14:33:09,desktop,search,3dffc213-9b2
1716,622,view,2025-10-03 11:22:43,mobile,email,e4ac987b-200
1717,623,view,2025-10-03 15:12:14,mobile,direct,19821403-765
1718,630,view,2025-10-03 21:42:47,mobile,direct,25d11236-af2
1719,631,view,2025-10-03 18:11:49,mobile,search,72198f3b-8ef
1720,638,view,2025-10-03 08:58:11,mobile,social,2970b120-8a6
1721,641,view,2025-10-03 06:03:37,tablet,search,c1ea557f-bde
1722,652,view,2025-10-03 21:22:48,mobile,search,ace89b9b-f3e
1723,663,view,2025-10-03 23:28:07,desktop,search,65f9ab73-ea6
1724,677,view,2025-10-03 20:27:46,mobile,direct,4135e97b-ce5
1725,682,view,2025-10-03 00:42:39,mobile,social,e5866a26-b93
1726,694,view,2025-10-03 04:05:44,mobile,direct,7785b72e-b02
1727,697,view,2025-10-03 08:39:15,desktop,search,2ae94ac1-e84
1728,702,view,2025-10-03 05:50:21,mobile,search,a01f2215-997
1729,708,view,2025-10-03 22:55:32,mobile,social,74fa6829-30e
1730,713,view,2025-10-03 15:48:18,mobile,social,38a53d9b-61f
1731,727,view,2025-10-03 21:52:03,desktop,social,5dcab599-9d5
1732,728,view,2025-10-03 14:10:36,mobile,search,6f3b46b5-4b3
1733,730,view,2025-10-03 14:46:16,desktop,direct,21953a7e-b2b
1734,741,view,2025-10-03 16:13:19,mobile,direct,52de944a-902
