order_id,user_id,order_timestamp,amount,currency,payment_method,status
87,65,2025/10/3 21:33,74.24,AUD,card,paid
88,88,2025/10/3 0:52,54.87,AUD,bank_transfer,paid
89,107,2025/10/3 23:00,56.01,AUD,card,paid
90,150,2025/10/3 20:37,44.93,AUD,card,paid
91,434,2025/10/3 17:16,66.82,AUD,card,paid
92,470,2025/10/3 3:54,91.27,AUD,card,paid
93,486,2025/10/3 19:11,48.11,AUD,bank_transfer,refunded
94,496,2025/10/3 8:05,65.58,AUD,card,paid
95,663,2025/10/3 21:52,49.17,AUD,card,pending
96,771,2025/10/3 15:36,73.27,AUD,card,pending
97,961,2025/10/3 5:09,52.08,AUD,card,paid
98,1051,2025/10/3 23:17,47.81,AUD,card,paid
99,1119,2025/10/3 2:43,49.11,AUD,card,paid
100,1175,2025/10/3 19:19,83.64,AUD,card,paid
101,1406,2025/10/3 1:17,63.85,AUD,card,paid
102,1412,2025/10/3 3:54,54.99,AUD,card,paid
103,1474,2025/10/3 13:36,75.01,AUD,card,pending
104,1662,2025/10/3 10:25,55.34,AUD,bank_transfer,paid
105,1709,2025/10/3 19:55,110.71,AUD,card,paid
106,1866,2025/10/3 4:17,43.02,AUD,bank_transfer,paid
107,1919,2025/10/3 20:32,61.31,AUD,card,paid
108,2032,2025/10/3 7:58,35.44,AUD,paypal,paid
109,2198,2025/10/3 14:13,57.05,AUD,card,paid
110,2209,2025/10/3 22:13,31.32,AUD,card,refunded
111,2264,2025/10/3 8:23,93.3,AUD,card,paid
112,2289,2025/10/3 12:45,94.15,AUD,card,paid
113,2366,2025/10/3 12:07,94.91,AUD,paypal,paid
114,2385,2025/10/3 13:19,67.56,AUD,card,paid
115,2406,2025/10/3 0:34,44.88,AUD,card,paid
116,2413,2025/10/3 21:33,46.52,AUD,bank_transfer,paid
117,2502,2025/10/3 6:36,132.76,AUD,card,paid
118,2531,2025/10/3 6:29,127.24,AUD,card,paid
119,2591,2025/10/3 19:07,70.47,AUD,card,paid
120,2685,2025/10/3 3:25,52.88,AUD,card,pending
121,2695,2025/10/3 1:40,123.46,AUD,paypal,paid
122,2712,2025/10/3 11:04,48.79,AUD,card,paid
123,2723,2025/10/3 20:58,73.92,AUD,card,paid
124,2769,2025/10/3 13:00,122.53,AUD,card,paid
125,2788,2025/10/3 5:34,45.77,AUD,card,paid
126,2907,2025/10/3 1:50,96.85,AUD,card,paid
