event_id,user_id,event_type,event_timestamp,device,channel,session_id
1,22,view,2025-10-01 03:07:53,mobile,direct,262c5ea7-319
2,31,view,2025-10-01 11:13:36,desktop,search,c19ee920-6cb
3,45,view,2025-10-01 02:11:34,desktop,direct,2e3ecc24-056
4,47,view,2025-10-01 12:47:53,desktop,email,e6743d99-b57
5,52,view,2025-10-01 12:41:33,mobile,referral,da20016a-c95
6,57,view,2025-10-01 14:17:46,desktop,referral,d5f42d95-e74
7,59,view,2025-10-01 06:45:43,desktop,search,631662f1-d43
8,61,view,2025-10-01 11:58:15,mobile,search,09103888-061
9,67,view,2025-10-01 08:39:34,mobile,search,d69920ac-be6
10,68,view,2025-10-01 14:06:41,mobile,search,cbcecdd5-4ff
11,72,view,2025-10-01 20:07:16,desktop,search,d07853d6-ea9
12,77,view,2025-10-01 19:15:36,mobile,direct,bc573e40-012
13,81,view,2025-10-01 11:55:26,desktop,social,fedf7ebf-1ed
14,87,view,2025-10-01 20:09:50,mobile,direct,652d75f9-727
15,89,view,2025-10-01 10:47:07,tablet,search,7b1dbadd-f38
16,96,view,2025-10-01 12:26:15,mobile,search,f932130e-10f
17,101,view,2025-10-01 11:26:41,desktop,search,6e8227e2-183
18,111,view,2025-10-01 08:09:33,mobile,social,fcca16a5-6e8
19,117,view,2025-10-01 07:38:45,mobile,social,a4724987-094
20,122,view,2025-10-01 20:10:51,desktop,search,b5120dc9-0a2
21,125,view,2025-10-01 08:28:06,tablet,search,6cece17c-3b6
22,131,view,2025-10-01 21:50:04,mobile,direct,36e1ba85-2da
23,132,view,2025-10-01 05:10:40,mobile,search,4e748d9f-809
24,137,view,2025-10-01 17:04:15,mobile,referral,ee590293-c54
25,139,view,2025-10-01 10:02:16,mobile,referral,becad898-eb0
26,140,view,2025-10-01 17:20:25,mobile,social,c434ecc5-819
27,145,view,2025-10-01 15:42:19,desktop,direct,f891b28c-26f
28,146,view,2025-10-01 22:41:04,tablet,direct,155d89f7-df5
29,148,view,2025-10-01 06:55:42,mobile,search,a5d1fdf9-ef3
30,150,view,2025-10-01 18:59:23,mobile,email,a0eacfa5-295
31,152,view,2025-10-01 16:16:36,mobile,social,55e40d24-944
32,153,view,2025-10-01 22:38:46,mobile,email,a85fe893-68b
33,156,view,2025-10-01 09:47:35,mobile,search,29ff2d66-199
34,161,view,2025-10-01 17:15:29,mobile,direct,8570a5a2-d96
35,170,view,2025-10-01 23:45:23,mobile,direct,bee547ca-0c2
36,172,view,2025-10-01 17:18:06,mobile,direct,a8891237-fd7
37,177,view,2025-10-01 04:31:17,mobile,search,cf1f04ab-28e
38,178,view,2025-10-01 00:27:23,mobile,direct,4d45bc86-f03
39,180,view,2025-10-01 06:35:29,mobile,social,d53bb82d-6e8
40,190,view,2025-10-01 06:03:38,desktop,social,80f9916a-3b7
41,191,view,2025-10-01 18:12:35,desktop,search,3177c073-56e
42,226,view,2025-10-01 14:53:49,desktop,direct,9e8110d8-5bb
43,249,view,2025-10-01 15:23:58,mobile,direct,00f05724-2f7
44,261,view,2025-10-01 02:37:37,mobile,social,68d405b5-951
45,263,view,2025-10-01 16:33:49,mobile,search,ea294467-bf1
46,273,view,2025-10-01 09:25:22,mobile,search,8b61a5a4-ee9
47,278,view,2025-10-01 02:43:40,desktop,email,28561d49-230
48,280,view,2025-10-01 09:05:50,mobile,search,fcf45c00-913
49,285,view,2025-10-01 10:29:50,mobile,search,ba8bdc7c-198
50,292,view,2025-10-01 09:33:41,mobile,social,aae75df3-c27
51,306,view,2025-10-01 18:53:58,mobile,social,12c241ab-919
52,312,view,2025-10-01 22:50:01,tablet,social,7b345730-3e9
53,323,view,2025-10-01 17:18:45,mobile,search,ff95a8aa-d2e
54,335,view,2025-10-01 07:06:40,mobile,search,d807f57b-f88
55,339,view,2025-10-01 08:09:54,mobile,social,565d2666-ec8
56,350,view,2025-10-01 22:07:02,tablet,search,c90d4d40-290
57,353,view,2025-10-01 10:02:51,mobile,social,609a74f7-696
58,357,view,2025-10-01 17:05:26,desktop,email,7376cf96-352
59,359,view,2025-10-01 03:39:09,mobile,email,4c386824-b2d
60,360,view,2025-10-01 08:26:34,desktop,direct,baf9db2b-bb1
61,364,view,2025-10-01 03:59:56,mobile,direct,3cdfa0cd-924
62,366,view,2025-10-01 06:28:44,mobile,direct,ccc69be7-c55
63,370,view,2025-10-01 13:06:38,desktop,social,df323c79-9cc
64,374,view,2025-10-01 22:58:25,tablet,search,f6dc906d-a11
65,381,view,2025-10-01 08:36:56,mobile,direct,2d2c5817-3c2
66,382,view,2025-10-01 00:53:14,desktop,direct,5ec996b9-7d9
67,395,view,2025-10-01 08:59:58,mobile,search,69edfb3d-8c8
68,396,view,2025-10-01 01:19:49,desktop,direct,d6e92b3e-b00
69,401,view,2025-10-01 23:48:15,desktop,direct,14fd8542-939
70,403,view,2025-10-01 18:02:47,mobile,social,c5cf4065-bc9
71,404,view,2025-10-01 16:58:54,desktop,direct,741a62bd-cef
72,408,view,2025-10-01 19:41:26,desktop,direct,5f0af3cf-0d3
73,420,view,2025-10-01 06:56:17,mobile,email,e019ae31-073
74,434,view,2025-10-01 00:02:09,desktop,email,4d1fd2dc-8a5
75,436,view,2025-10-01 16:34:43,mobile,search,776211ad-0f4
76,438,view,2025-10-01 12:35:31,desktop,direct,d0459807-104
77,440,view,2025-10-01 09:37:06,desktop,social,ab3be910-924
78,457,view,2025-10-01 13:28:23,mobile,search,cb180245-2c9
79,460,view,2025-10-01 07:39:09,desktop,direct,0e2d8c62-946
80,470,view,2025-10-01 03:25:42,mobile,direct,571a688a-6a5
